Depth,AMEX Dead,AMEX Live,MFUS Dead,MFUS Live,PLIM Dead,PLIM Live,TINF Dead,TINF Live,JMAC Dead,JMAC Live
0,6.3333333333,1,0,0,0,0,11.5,4.3333333333,8.6666666667,2.1666666667
1,36.0833333333,12.3333333333,2.5833333333,1.25,4.5,0.9166666667,57.25,22.0833333333,42.3333333333,19.4166666667
3,40,14.3333333333,6.3333333333,2.4166666667,8.5,2.8333333333,85.3333333333,23.9166666667,60.8333333333,27.75
10,31.0833333333,11.8333333333,4.25,1.1666666667,13,7.8333333333,48.75,22.5833333333,37.75,13.3333333333
20,31.3333333333,7.0833333333,3.5833333333,0.8333333333,4.25,1.4166666667,71.25,15.25,47.75,14.5
30,24.25,4.25,4.5833333333,0.25,2.5,0.5833333333,68.6666666667,10.9166666667,47.5833333333,7.75
40,24.3333333333,0.8333333333,1.0833333333,0,0.9166666667,0,60.4166666667,12.3333333333,63.3333333333,6.4166666667
50,26.9166666667,1.4166666667,0.5,0,1.9166666667,0,65.1666666667,3.5833333333,57.0833333333,5.0833333333
60,30.1666666667,0.8333333333,1.3333333333,0,1.4166666667,0,62.3333333333,0.6666666667,51.9166666667,0.3333333333
